nome
Maria Karlsson
Leigh Chapman
David Magee (II)
Martin Lynch
Michael Allin
Samuel G. Engel
Matt Sazama
Philip Ridley
John Lafia
Jared Butler
Greg MacGillivray
Bob Barlen
James Clavell
Richard Outten
Stanley Mann
Alexandra Seros
Gregory Fleeman
Alan Yuen
Lee Reynolds
Leonard Spigelgass
Jonathan Aibel
Joe Velikovsky
Jonathan Nolan
John Paxton
Adam Rifkin
Lewis John Carlino
Arch Oboler
Richard L. Breen
Keith A. Walker
Thom Fitzgerald
Stphane Keller
Russell J. Spencer
Simon Cluett
John Hodge
David Seltzer
Toby Davies
Liu Zhenyun
Michael S. Bregman
Todd Douglas Miller
Paul Borghese
Jiang Wen
M. Night Shyamalan
Gene Quintano
Andy Sidaris
Aaron Nee
Beverley Cross
David Schneider
Jordan Katz
Dean DeBlois
Brian DePalma
Simon Wells
Tom Rogers
Michael D. Olmos
Richard Everett
Jon Wright
Abdul Malik Abbott
Beau Thorne
Geneva Robertson-Dworet
Robert Anderson
Maya Forbes
Laeta Kalogridis
Henry Gilroy
Christopher Leitch
Hauya Yamazaki
Tim Firth
Peter Sauder
Kristin Wallace
Michael Wolk
Chuck Pfarrer
Greg Rosati
Rowdy Herrington
Lars K. Andersen
Rawson Marshall Thurber
Gregory Poirier
Gail Morgan Hickman
Peter S. Seaman
Adam Bhala Lough
George MacDonald Fraser
Hans Rodionoff
Tony Jaa
Howard B. Kreitsek
Scott Silver
Kathy McWorter
Feng Li
Orville H. Hampton
Steve De Jarnatt
Tony Richardson
Craig Bolotin
Anthony Silverston
Ron Hutchinson
Christopher Nolan
Michael Cooney
Jonathan Kesselman
Brian A. Metcalf
Michael Zaidan
Lajos Bir
Jalmari Helander
Robert Young
Doug Taylor
John Pogue
Eddie Murphy
Borden Chase
Stephen Amidon
Robert Meyer Burnett
Cameron Crowe
Jeong Byeong-gil
Charles Bennett
Paola di Florio
Robert Adetuyi
Bennett Yellin
James Mather
Rich Wilkes
Dennis Hackin
Steve Purcell (II)
Dave Parker
Larry Gross
Charles Beaumont
Ann Louise Bardach
Christopher Browne
Brendan William Hood
Napalee
Farah Khan
Paul Wernick
Sam Hellman
Chris Henchy
Liang Yusheng
Shirish Kunder
Jonathan Hensleigh
Don Michael Paul
Martin Dugard
Milan Trenc
Greg McLean
Matt Lopez
Frank Cappello
James Dodson
James B. Harris
Laurence Stallings
Loves Her Gun
Bertrand Tavernier
John M. Maclean
Anthony Tambakis
Douglas Day Stewart
Kaige Chen
Geoff Johns
Alex van Galen
Kim Seong-hun
Matthew Michael Carnahan
Lori Silverbush
Roald Dahl
Yale Udoff
Phil Savath
Alain Godard
Chi-long To
Andy Riley
Alastair Reid
Mark Saltzman
Greg Mellott
Samuel Fuller
Matt Gissing
Bruce A. Evans
Jeremy Passmore
Tony Giglio
Sy Bartlett
Ernest R. Dickerson
Hossein Amini
James Warner Bellah
Daniel Waters
Anders Thomas Jensen
Hal Fimberg
Alistair MacLean
Julien Josephson
Jonathan Lemkin
Charles Lederer
Christopher Silber
Steve Bing
David Farr
Aaron Latham
Julia Loktev
Robert Foreman
Ashley Jones
Charles Alverson
Peter Richardson
Joe Casey
Noel Langley
Richard Murphy
Blake Clifton
Andrew Wight
Captain Blood
Valerie Curtin
Stu Krieger
Joel Conroy
Ryan Condal
Tom Holland
Larry Bishop
John Cleese
Ronald Shusett
Jason Netter
Tom Gustafson
Vincent Gilligan
Scott Wiper
Jason Hall
Shane Salerno
Cynthia Mort
J.J. Abrams
Ulf Ryberg
Raul Inglis
Matt Wall
Fran Walsh
Lu Zheng Yu
Hope Loring
Thunder Levin
Gerald Vaughan-Hughes
Ethan Reiff
Santa Inoue
Robert Ramsey
Stephen Fung
Gail Gilchriest
Kevin Peterka
Mark Haskell Smith
Elan Mastai
Lam Fung
Josh Klausner
Rodrigo Pimental
Anthony Powell
Thomas Bezucha
Christopher McQuarrie
John Whedon
David N. Titcher
Jim Wynorski
Jeremy Rush
Szeto Kam Yuen
Kevin Bernhardt
William Nicholson
Robert Pucci
Peter O'Brien
Monja Danischewsky
George Putnam
Steven Knight
Fred Cavay
Jessica Postigo Paquette
Jack Moran
Keoni Waxman
Julian Unthank
Nick Damici
Seung-wan Ryoo
Peter Gaulke
Ngai Choi Lam
Lawrence Roman
Habib Faisal
Edgar G. Ulmer
Henry Edwards
Matthew Holmes (VI)
Thom Eberhardt
Steven Spielberg
Martha Hyer
Wayne Beach
David Hayter
Dennis Lynton Clark
Alexander Talal
Rob Gilmer
Chuck Hogan
J.M. DeMatteis
Evan Jones
Piers Ashworth
James Gray
Paul F. Edwards
Emily Fox
Dick Maas
Rick Jaffa
Nick Love
Michael Berg
Lo Wei
Shinobu Hashimoto
Ryuhei Kitamura
Mark Burton
Andr Ovredal
Stephen Gaghan
Cameron Labine
Ilya Naishuller
Gerald L.C. Copley
Michael Ende
Sheng Ding
Alastair Siddons
Michael C. Martin
J.D. Zeik
Richard Price
Peter Morgan
Andrew Haigh
Kimble Rendall
Yusuke Watanabe
J.K. Rowling
Sergio Donati
Dan Shere
Stephen Carpenter
Gary Goldman
Jon Hoeber
Yuichi Shinpo
Michael Grais
Marianne Wibberly
Dito Montiel
Johanne Bernard
Billy Ray
Larry Karaszewski
Gerald DiPego
Donald Stewart
Philip Kaufman
Jon Ayre
Fabin Bielinsky
Kevin James
Simon R. Lewis
Larry Forrester
Lawrence Konner
Cess Silvera
Marc Haimes
Michael Diliberti
Kevin Elders
Linda Wolverton
Kazushige Nojima
Steven Brill
Jon Hurwitz
Mark Kasdan
Warren Skaaren
Clive Exton
Alex Rubens
Ben Roberts
Ekachai Uekrongtham
Vince Campanella
David Caesar
Joseph C. Stinson
Hong-jin Na
Caroline Case
Cdric Jimenez
Jeff Stockwell
Steve Anderson
Glenn A. Bruce
John Hamburg
James Lee Barrett
Harve Bennett
Christian Gudegast
Robert Boris
Bruce Joel Rubin
Bill Marsilii
Damian Shannon
Zack Stentz
Stephen Chow
Peter Prince
Chris Williams (IX)
Daniel Harris
Dennis Kelly
Johanna Sinisalo
Alex Tse
Andrew Adamson
Robert Anton Wilson
Christine To
Hal Craig
Sean Hood
Herschel Weingrod
Henry De Vere Stacpoole
Duncan Jones
Nicholas Kazan
Steve Klein
Rita Hsiao
Andrew Davies
Adam Pava
Mark L. Lester
Jeon Cheol-Hong
Mario Puzo
J. David Stem
Yau Nai-Hoi
Matthew Stone
Kevin Jarre
Haofeng Xu
William Edward Taylor
Khan Kawauchi
Damian Lee
Paul Hyett
Eddie Richey
Roger Donaldson
Christopher Bond
John Michael McDonagh
Billy Bob Thornton
Howard Koch
Leon Uris
Ray Griggs
Leo Garen
Bruce M. Morris
Peter Stone
Lim Sang-soo
Melissa Rosenberg
William H. Wright
Les Weldon
Dale Wasserman
Chris Sivertson
Myung-se Lee
Richard Rothstein
David Cronenberg
F. Scott Frazier
John Gatins
Ray Harryhausen
Robin Shou
Diana Hammond
James Webb
David Stenn
Marshall Brickman
Barry Trivers
Ben Barzman
Gabriel Dowrick
Joe Pearson
Lloyd Kaufman
Nacho Vigalondo
Michael G. Cooney
Leon Capetanos
John Claflin
Ted Bafaloukos
Joyce Corrington
Bill Holderman
Paul Feig
Amos Poe
Steve Adams
Kario Salem
Brent Huff
George Clooney
David O. Russell
Sngmoo Lee
Don Hartman
Michael Love
Peter Weir
Holly Goldberg Sloan
Philip Yordan
Don Jakoby
Michael Steinberg
Jeff Lau Chun Wai
Timothy Mannion
Sidney Gilliat
Bram Stoker
Stephen King
Gregg Parker
Nancy Meyers
William Mickelberry
Peter Laird
Mark Cullen
Paul Harris Boardman
Alexander Jacobs
Ranald MacDougall
Daniel Taradash
Gavin Scott
Allen Estrin
Michael Kozoll
Eric Bromberg
