attore,film,anno
David Strathairn,The Sensation of Sight,2008
John Huston,The Visitor,1979
Betiana Blum,Reinas (Queens),2006
Hillary B. Smith,Love Potion No. 9,1992
Tiziano Cucchiarelli,Bread & Tulips,2001
Zsa Zsa Gabor,Queen of Outer Space,1958
Gareth Reeves,Tracker,2011
Vincent Lindon,Mademoiselle Chambon,2010
Aoi Nakajima,In the Realm of the Senses,1976
Teri Garr,One From the Heart,1982
Woo-ping Yuen,The Grandmaster,2013
Warren Oates,The Border,1982
Leonard Maltin,Floyd Norman: An Animated Life,2016
Marilia Pera,Central Station (Central do Brasil),1998
Joanna Cassidy,Larry the Cable Guy: Health Inspector,2006
Tony Goldwyn,American Gun,2006
"Scott ""Kid Cudi"" Mescudi",Need For Speed,2014
Leonardo DiCaprio,Hubble 3D,2010
John Scott Trotter,"It's the Great Pumpkin, Charlie Brown",1966
Martha Vickers,The Big Sleep,1946
Jay Leno,Love the Beast,2009
Zdenek Sverk,Kolya,1997
Dave Chappelle,You've Got Mail,1998
Judith Ivey,Hello Again,1987
Helen McCrory,The Woman in Black 2 Angel of Death,2015
Ray Romano,Ice Age: Continental Drift,2012
Isabella Rossellini,Keyhole,2012
Bingbing Li,Snow Flower And The Secret Fan,2011
Zoe Saldana,Drumline,2002
Virginie Thvenet,Les Nuits de la pleine lune (Full Moon in Paris),1984
Mildred Natwick,The Court Jester,1956
William H. Macy,The Late Show,1977
Eric Alterman,Outfoxed: Rupert Murdoch's War on Journalism,2004
Tadanobu Asano,Harmonium (Fuchi ni tatsu),2017
Preston Lacy,Jackass 3,2010
Paula Prentiss,Man's Favorite Sport?,1964
Eddie Fernandez,Paranormal Activity: The Marked Ones,2014
Walter Matthau,"Hello, Dolly!",1969
Emily Watson,Testament Of Youth,2015
Crystal Lameman,This Changes Everything,2015
Roger Elwin,Lord of the Flies,1963
Jamie Bell,Retreat,2011
Dianne Wiest,The Humbling,2015
Alexa Nikolas,Detention Of The Dead,2013
Richie Ren,Daai si gin (Breaking News),2006
Jennifer Esposito,Summer of Sam,1999
Nathan Phillips,These Final Hours,2015
John Gatins,Leprechaun 3,1995
Tony Plana,Romero,1989
Pierre Curzi,The Decline of the American Empire (Le Dclin de l'Empire Amricain),1986
Joey Kern,Bloodsucking Bastards,2015
Richard Lynch,Scarecrow,1973
Marsha Mason,The Goodbye Girl,1977
Phil Silvers,A Funny Thing Happened on the Way to the Forum,1966
Katie Findlay,Premature,2014
Randall Batinkoff,April's Shower,2004
James Remar,The Clan of the Cave Bear,1986
D.J. Cotrona,G.I. Joe: Retaliation,2013
Liv Tyler,Armageddon,1998
