movie,movie_studio
Marshall,Open Road Films
Regarding Henry,Paramount Home Video
I Think We're Alone Now,Momentum Pictures
The Women,Picturehouse Entertainment
96 Souls,SJPL Films
The Time Traveler's Wife,Warner Bros. Pictures
Almayer's Folly,Shellac Distribution
Knowing,Summit Entertainment
Digging For Fire,The Orchard
Listening,Young Medium
For Ellen,Tribeca Film
Bridge of Spies,Dreamworks Pictures
The Green Mile,Warner Bros. Pictures
Submerged,Twisted Pictures
Confetti,Fox Searchlight
Fear and Desire,Joseph Burstyn Incorporated
Harper (The Moving Target),Warner Bros.
The Curious Case of Benjamin Button,Paramount
Bug,Lionsgate Films
Varsity Blues,Paramount Pictures
Twelve Thirty,Virgil Films
Twentyfourseven,Universal Pictures
The Scarlet Letter,Buena Vista
The Woman in Black,CBS Films
American Son,Miramax
Body of Evidence,MGM
Killing Kennedy,National Geographic Entertainment
The Confession,New City Releasing
Heaven & Earth,Warner Home Video
The Last Temptation of Christ,Universal Pictures
The Human Centipede II (Full Sequence),IFC Films
Conventioneers,Cinema Libre
Goodbye World,IDP/Samuel goldwyn Films
Lorenzo's Oil,MCA Universal Home Video
Undoing,Indican
Amazing Grace,Samuel Goldwyn Films LLC
Arlington Road,Sony Pictures Home Entertainment
Victoria & Abdul,Focus Features
The Rite,Warner Bros. Pictures/New Line Cinema
Horsemen,Lionsgate
A War (Krigen),Nordisk Film
Cold Creek Manor,Buena Vista Pictures
Inch'Allah,Entertainment One
The Watermelon Woman,Dancing Girl Productions
Eddie The Eagle,20th Century Fox
The Village Barbershop,Monterey Media
Diplomacy,Zeitgeist Films
Closet Monster,Rhombus Media
The Black Balloon,NeoClassics Films
Ordinary People,Paramount Pictures
LFO: The Movie,Dark Sky Films
Same Kind of Different As Me,Paramount Pictures / Pure Flix
Sweetwater,Arc Entertainment
Kings,The Orchard
88,Sony Pictures Entertainment
Rebel in the Rye,IFC Films
The Magician (Ansiktet),Criterion Collection
The Loft,Open Road Films
For Keeps,Sony Pictures Entertainment
21 Grams,Universal Pictures
The End Of The Tour,A24 Films
Adam Resurrected,Bleiberg Entertainment
Five  of Heaven,IFC Films
Elysium,TriStar Pictures
Lucky Number Slevin,Weinstein Company
Passion Play,Image Entertainment
The Narrows,Cinedigm Entertainment
Gold,TWC-Dimension
Falling from Grace,Sony Pictures Home Entertainment
The Late Show,Warner Home Video
Once Upon a Time in America,Warner Home Video
The Favor,Orion Home Video
House of Wax,Warner Bros. Pictures
The Ring Two,Dreamworks Distribution LLC
The Identical,Freestyle Releasing
Islands in the Stream,Paramount Pictures
The Devil's Candy,IFC Midnight
Goodbye Christopher Robin,Fox Searchlight Pictures
Chicago,Miramax Films
Six Degrees of Separation,MGM Home Entertainment
Tennessee,Vivendi Entertainment
Rodney King,Netflix
Paradise: Faith,Strand Releasing
Something Borrowed,Warner Bros.
3 Backyards,Screen Media Ventures
Deli Man,Cohen Media Group
American Buffalo,Hallmark Entertainment
Fetih 1453 (Conquest 1453),Independent Pictures
Pretty Bird,Paramount Home Entertainment
The Childhood of a Leader,Bow and Arrow Entertainment
You Can Count On Me,TSG Pictures
Bugsy,Sony Pictures Home Entertainment
Bobby G. Can't Swim,cinTBLAST!
Things to Do in Denver When You're Dead,Miramax
Joe,Roadside Attractions
Facing the Giants,Destination Film
Bonded By Blood,Gateway Films
Fire in the Sky,Paramount Home Video
Hick,Phase 4 Films
Birdy,Sony Pictures Home Entertainment
17 Girls,Strand Releasing
Rodin,Cohen Media Group
Golden Kingdom,Alive Mind
I Saw the Light,Sony Pictures Classics
The United States of Leland,Paramount Classics
St. Elmo's Fire,Sony Pictures Home Entertainment
The Sea,Rooks Nest Entertainment
About Scout,BrownBag Pictures
Heartless,Lionsgate
Monsters: Dark Continent,Radius
Incendiary,Capitol Films
The Greatest Showman,20th Century Fox
Fugitive Pieces,IDP Distribution
In the Valley of Elah,Warner Independent Pictures
Ex Machina,A24 Films
Gardens of the Night,City Lights
August: Osage County,The Weinstein Company
Sugar,Sony Classics
Unbroken,Universal Pictures
This Revolution,Revolution Theory
Ex Drummer,Tartan USA
Red,Magnolia Pictures
Bel Ami,Magnolia Pictures
Eden,Broad Green Pictures
Under Fire,Vestron Video
King of the Gypsies,Paramount Home Video
Rushlights,Vertical Entertainment
Welcome to Collinwood,Warner Bros.
Road To Nowhere,Monterey Media
Chronically Metropolitan,The Film Community
The Grey Zone,Lions Gate Films
Triumph of the Spirit,Sony Pictures Home Entertainment
Tuck Everlasting,Buena Vista Pictures
Steam,WARNER BROTHERS PICTURES
Eye of the Beholder,Desintation Film Dist. Corp.
Crossroads,Sony Pictures Home Entertainment
Kepler's Dream,Leomark Studios
North Dallas Forty,Paramount Home Video
The Kindergarten Teacher,Netflix
Hungry Hearts,IFC Films
The Sleepwalker,IFC Films
Godsend,Lions Gate Films
Truth,Sony Pictures
Out to Sea,Twentieth Century Fox Home Entertainment
The Wood,Paramount Pictures
Discreet,Uncork'd Entertainment
127 Hours,Fox Searchlight
Black Butterflies,Tribeca Films
Internal Affairs,Paramount Pictures
After,Paladin/Accretion Films
Flashdance,Paramount Home Video
Trade of Innocents,Monterey Media
Alien,20th Century Fox
Fred Won't Move Out,Independent Pictures
When Did You Last See Your Father?,Sony Pictures Classics
The Program,Momentum Pictures
Garbo Talks,Twentieth Century Fox Home Entertainment
Suspect Zero,Paramount Pictures
For the Love of Money,Grindstone Entertainment
Jennifer 8,Paramount Home Video
The Limits of Control,Focus Features
Siberia,Saban Films
Islander,Slowhand Releasing
Strangerland,Alchemy
Big Eyes,The Weinstein Company
The Juror,Sony Pictures Home Entertainment
The Unbelievable Truth,Trimark
Eyes of Laura Mars,Columbia Pictures Corporation
The Winslow Boy,Sony Pictures Classic
Ghost Dad,MCA Universal Home Video
Mojave,A24 and DIRECTV
Genius,Riverstone Pictures
The Conquest,Music Box Films
American Gangster,Universal Pictures
Not Easily Broken,Screen Gems/SONY PICTURES
Hollywoodland,Focus Features
What We Do Is Secret,Vision Films
Provoked,Eros Entertainment
Bound,Republic Pictures Home Video
Sparkle,Sony Pictures
A Nightmare on Elm Street,Warner Bros. Pictures
Animal Factory,Silver Nitrate
The Houses October Built,RLJ/Image Entertainment
Bottled Up,Osiris Entertainment
Courage Under Fire,Columbia Pictures
Reservation Road,Focus Features
American Folk,Good Deed Entertainment
Passchendaele,Alliance Atlantis
By Hook or by Crook,Artistic License Films
Control,The Weinstein Company
Sommersby,Warner Bros. Pictures
Late Phases,Dark Sky Films
Loosies,IFC Films
Changing the Game,Barnholtz Entertainment
Showgirls,MGM Home Entertainment
Reign Over Me,Sony Pictures
The Cold Lands,CineReach
Return to Paradise,PolyGram Video
Trumbo,Bleecker Street Media
Gran Torino,Warner Bros. Pictures/Village Roadshow
Bad Turn Worse,Starz Media
4 Minute Mile,Gravitas Ventures
Compliance,Magnolia Pictures
Happy Here and Now,IFC Films
Churchill,Cohen Media Group
Arcadia,Film Movement
Chasing Mavericks,20th Century Fox
Casa de los Babys,IFC Films
Blow-Up,MGM
Joe the King,Trimark
The Seagull,Sony Pictures Classics
Valmont,Orion Home Video
Day Zero,First Look Studios
BlacKkKlansman,Focus Features
Nightcrawler,Open Road Films
Being Flynn,Focus Features
Gangster Land (In the Absence of Good Men),Status Media & Entertainment
Private Romeo,Wolfe Releasing
The Rapture,Sony Pictures Home Entertainment
"My Son, My Son, What Have Ye Done",Unified Pictures
Holy Rollers,First Independent Pictures
Gimme The Loot,IFC Films
Aftermath,Lionsgate Premiere
McFarland USA,Walt Disney Pictures
Jane Eyre,Focus Features
Where Is Kyra?,Great Point Media and Paladin
Mighty Fine,Adopt Films
Five Nights in Maine,Loveless Entertainment
Nobody Walks,Magnolia Pictures
Quills,20th Century Fox
A Dangerous Method,Sony Pictures Classics
Murder by Numbers,Warner Bros. Pictures
The Answer Man (Arlen Faber),Magnolia Pictures
The Face Of An Angel,Screen Media Films
Blind Terror (See No Evil),Sony Pictures Entertainment
The Lunchbox,Sony Pictures Classics
In Cold Blood,Columbia Pictures
First They Killed My Father,Netflix Originals
Red Dragon,Universal Pictures
Civic Duty,Freestyle Releasing/Yari Film Group
Race You to the Bottom,Regent Releasing
The First Time,Samuel Goldwyn Films
Elizabeth,Gramercy
Come What May,Cohen Media Group
Breathe,Film Movement
Chaos Theory,Warner Bros. Pictures
Becoming Jane,Miramax Films
The Ottoman Lieutenant,Paladin
Goal II: Living the Dream,Freestyle Releasing
Hereafter,Warner Bros. Pictures
Absence,Cinedigm
Prozac Nation,Miramax Films
Singles,Warner Home Video
We Don't Live Here Anymore,Warner Independent
Saving Shiloh,Warner Bros.
Afflicted,CBS Films
Pierrepoint: The Last Hangman,IFC First Take
Digging Up the Marrow,RLJE/Image Entertainment
Bedlam,RKO Pictures
Mr. Church,Envision Media Arts
A Cool Dry Place,Twentieth Century Fox Home Entertainment
Memento,Newmarket Films
Saving Face,Sony Pictures Classics
The Girl,Brainstorm Media
The Driller Killer,MVD Entertainment Group
The Lost City,Magnolia Pictures
The King's Speech,The Weinstein Company
The Best Of Me,Relativity Media
Hearts in Atlantis,Warner Bros.
Transsiberian,First Look
American Me,MCA Universal Home Video
Just Charlie,Wolfe Releasing
Storytelling,Fine Line Features
Autumn Blood,Independent
Tangerines,Magnolia Pictures
Operation Avalanche,XYZ Films
Stonewall,Roadside Attractions
Marathon Man,Paramount Home Video
Nurse.Fighter.Boy,Mongrel Media
Running on Empty,Warner Bros. Pictures
Frost/Nixon,Universal Pictures
Ulee's Gold,MGM
American Hustle,Sony Pictures
The Boost,HBO Video
The Mirror Crack'd,Anchor Bay Entertainment
Deadfall,Magnolia Pictures
London,Samuel Goldwyn Films
The High Cost of Living,Tribeca Films
I Used To Be Darker,Strand Releasing
When in Rome,Walt Disney Pictures
The Unspeakable Act,The Cinema Guild
Midnighters,IFC Films
"I Love You, I Love You Not",Miramax
Casper,Universal Pictures
Missionary,Freestyle Releasing
The Moth Diaries,IFC Films
The Grand Budapest Hotel,Fox Searchlight
In the Land of Blood and Honey,Film District
Super Dark Times,The Orchard
Step Up Revolution,Summit Entertainment
C.O.G.,Screen Media Ventures
Punchline,Sony Pictures Home Entertainment
Blame,Samuel Goldwyn Films
Bad Influence,Sony Pictures Home Entertainment
Hidden Figures,20th Century Fox
Pass Over,40 Acres & A Mule Filmworks
Attraction,Trimark
The Other Son,Cohen Media Group
The Debt,Focus Features
Crown Heights,Amazon Studios and IFC Films
Coal Miner's Daughter,MCA Universal Home Video
House,Roadside Attractions
Dawn Patrol,Alchemy
Pariah,Focus Features
The Heart Is Deceitful Above All Things,Palm Pictures
The Village,Buena Vista
Camp X-Ray,IFC Films
Money Monster,Smokehouse Pictures
After.Life,Anchor Bay
The Basket,MGM Home Entertainment
The Deep End,20th Century Fox
The Lady,Cohen Media Group
Before Night Falls,Fine Line Features
Monster's Ball,Lions Gate Films Inc.
Humpday,Magnolia Pictures
Down the Shore,Anchor Bay Entertainment
Don't Call Me Son (Me S H Uma),Dezenove Som e Imagem
12 Years a Slave,Fox Searchlight
Operation Chromite,Taewon Entertainment
The Duchess,Paramount Vantage
The Day He Arrives,The Cinema Guild
Da Sweet Blood of Jesus,Gravitas Ventures
All Eyez on Me,SUMMIT/CODEBLACK FILMS/LIONSGATE
"Good Night, And Good Luck",Warner Independent Pictures
The Butcher Boy,Warner Bros.
Stolen Summer,Miramax Films
Damascus Cover,Vertical Entertainment
Cruise,Vertical Entertainment
The Pursuit of Happyness,Sony Pictures
One Hour Photo,Fox Searchlight
Our House,IFC Midnight
Lies & Alibis,Columbia Pictures
Hello Herman,Freestyle Releasing
Take Me Home Tonight,Relativity Media
Raising Cain,MCA Universal Home Video
Not Fade Away,Paramount Studios
Bastards,IFC Films
Open Window,Image Entertainment
Split,Universal Pictures
Porto,Salem Street Entertainment
Partisan,Well Go USA
Slumdog Millionaire,Fox Searchlight Pictures
Dark Streets,Samuel Goldwyn Films
Thief Of Hearts,Paramount Pictures
The Shape of Water,Fox Searchlight Pictures
Jack Ketchum's The Girl Next Door,Moderncine
Gimme Shelter,Roadside Attractions
Stop-Loss,Paramount Pictures
The Dressmaker,Amazon Studios & Broad Green Pictures
Experimenter,Magnolia Pictures
Before the Rains,Roadside Attractions
Goat,Killer Films
Home,eOne
Promised Land,Focus Features
Color of Night,Buena Vista
The Moment,Dada Films
Alone with Her,IFC First Take
The Afterlight,Cinema Purgatorio
Snapshots,Gravitas Ventures
House Of Boys,Moonstone Entertainment
A Night In Old Mexico,Phase 4 Films
Forget Paris,Sony Pictures Home Entertainment
Guilty as Sin,Buena Vista
The Conspirator,Roadside Attractions
Gorky Park,Vestron Video
Secret Honor,Cinecom International Films
Pilgrimage,RLJ Entertainment
Gacy,DEJ Productions
Wadjda,Sony Pictures Classics
Bird,Warner Home Video
10 Cloverfield Lane,Bad Robot Productions
Devil's Knot,RLJ/Image Entertainment
The Quiet Earth,Anchor Bay Entertainment
Atlas Shrugged: Part I,Rocky Mountain Pictures
Another Day in Paradise,Trimark Pictures
Billionaire Boys Club,Vertical Entertainment
What's Cooking?,Trimark Pictures
The Letters,Freestyle Releasing
All the Right Moves,Twentieth Century Fox Home Entertainment
Gia,HBO Video
Whale Rider,Palm Pictures
The Last September,Trimark Pictures
The Weight of Water,Lions Gate Releasing
Red Dust,MGM
Fireproof,Sherwood Pictures
Crooked Arrows,Strategic Films
Game Change,HBO
Surveillance,Magnet Releasing
The Girl on the Train,Universal Pictures
Least Among Saints,Vitagraph Films
After Louie,Hawk House Productions
Labor Day,Paramount Pictures
The Wait,Monterey Media
There Will Be Blood,Paramount Vantage
Ed Gein,First Look
Jesus Christ Superstar,Universal Studios
What Dreams May Come,PolyGram Films
A Boy and His Dog,eRealBiz
Radio,Sony Pictures Entertainment
Love Beats Rhymes,Lionsgate
Carousel,20th Century Fox
Heartstone (Hjartasteinn),SF Studios
Perfect,Sony Pictures Home Entertainment
All I See Is You,Open Road Films
Mother Of George,Oscilloscope Pictures
Ragtime,Paramount Pictures
White Irish Drinkers,Screen Media Films
Let's Talk About Sex,Fine Line
Primal Fear,Paramount Pictures
The Romantics,Benaroya Pictures
Keane,Magnolia
Little Red Wagon,Phase 4 Films
Infini,Vertical Entertainment
Gorillas in the Mist: The Story of Dian Fossey,Universal Pictures
The Ledge,IFC Films
Duplicity,Universal Pictures
Blue Like Jazz,Roadside Attractions
Fighting Tommy Riley,Visualeyes Productions
As I Lay Dying,Millennium Entertainment
The Osiris Child: Science Fiction Volume One,Eclectik Vision
Fear,Universal Pictures
The Turning Point,Paramount Pictures
Confidence,Lions Gate Releasing
Dark Was The Night,RLJE/Image Entertainment
Where the Day Takes You,New Line Cinema
The Handmaid's Tale,HBO Video
Sunset Edge,Cavu Pictures
Lion,See-Saw Films
Wilde,Sony Pictures Classics
Distant Thunder,Paramount Home Video
Bent,MGM Pictures
Days of Heaven,Paramount Pictures
Blue Collar,Universal Pictures
Killing Them Softly,The Weinstein Co.
Tommy,Sony Pictures
Ondine,Magnolia Pictures
Joy,20th Century Fox
Good Time,A24
The Final Cut,Lions Gate Films
Black Nativity,Fox Searchlight
Alexandra,The Cinema Guild
PARADOX,Netflix
Idlewild,Universal Pictures
The Disappearance of Eleanor Rigby: Them,The Weinstein Company
Hard Candy,Lions Gate Films
The Trouble with the Truth,1428 Films
Grace Unplugged,Roadside Attractions
Proof,Miramax Films
"Paul, Apostle of Christ",Affirm Films
Chapter 27,Vitagraph Films
Phoebe in Wonderland,ThinkFilm
The Lincoln Lawyer,Lionsgate Films
Raise Your Voice,New Line Cinema
Wall Street: Money Never Sleeps,20th Century Fox
Aardvark,Great Point Media
LBJ,Electric Entertainment
Wind River,The Weinstein Company
Hemingway & Gellhorn,HBO Films
Drunks,Winstar
Before I Fall,Open Road Films
Romeo + Juliet,20th Century Fox
House of Pleasures,Independent Pictures
La Bamba,Columbia Pictures
What If...,10 West Studios
Antwone Fisher,Fox Searchlight Pictures
Mrs. Doubtfire,20th Century Fox
S. Darko: A Donnie Darko Tale,20th Century Fox
Shank,TLA Releasing
The Book of Henry,Focus Features
Love Happens,Universal Pictures
Frida,Miramax Films
The Wizard of Lies,Tribeca Productions
American Gigolo,Paramount Home Video
I'm Not There,The Weinstein Co.
Secretariat,Walt Disney Pictures
Beauty and the Beast,Walt Disney Pictures
Water for Elephants,20th Century Fox
Crazy/Beautiful,Touchstone Pictures
The Invisible,Buena Vista
Terminal,RLJ Entertainment
Beach Rats,NEON
Paper Towns,20th Century Fox
Dolphin Tale,Warner Bros. Pictures
Song One,Film Arcade
Fly Away,New Video
Full Frontal,Miramax Films
My Dog Skip,Warner Bros. Pictures
Ithaca,Playtone Pictures
The Backwoods (Bosque de sombras),Lionsgate
Commandments,MCA Universal Home Video
Cadillac Records,Sony Pictures
Breaking Upwards,IFC Films
A Walk to Remember,Warner Bros. Pictures
Prefontaine,Hollywood Pictures
The Big Shot-Caller,Stella Films
Elephant,Fine Line Features
In Love and War,New Line Home Entertainment
The Visitor,Overture Films
A Kid Like Jake,IFC Films
Night Comes On,Samuel Goldwyn Films
Digging to China,Koch Lorber Films
Moll Flanders,MGM Home Entertainment
Last Chance Harvey,Overture Films
Bobby Jones: Stroke of Genius,Film Foundry Releasing
Affliction,Lions Gate
Denial,Participant Media
Coriolanus,The Weinstein Company
Kaleidoscope,IFC Films
Small Time,Anchor Bay Films
Know How,First Run Features
The Players Club,New Line Home Entertainment
The Good Heart,Magnolia Pictures
Love Hunter,Love Hunter Film LLC
Long Weekend (Nature's Grave),Darclight Films
Guilty by Suspicion,Warner Home Video
Cover,Reel Diva Consultants
Xenia,Strand Releasing
The Oranges,ATO Pictures
Good,ThinkFilm
Romeo and Juliet,Relativity Media
The China Syndrome,Columbia Pictures
The Giver,The Weinstein Company
Crossing Over,The Weinstein Co.
Groove,Sony Pictures Classics
The Situation,Shadow Distribution
Along Came the Devil,Gravitas Ventures
The Brooklyn Banker,Classified Pictures
The Price,Samuel Goldwyn Films
Meeting Evil,Magnolia Pictures
Die Bitteren Trnen der Petra von Kant (The Bitter Tears of Petra Von Kant),Wellspring Media Inc.
The Color of Money,Touchstone Pictures
Things Never Said,Ohio Street Pictures
Roadie,Magnolia Pictures
Damage,Sony Pictures Home Entertainment
Make It Happen,The Weinstein Co./MGM
Aarakshan,Reliance Big Pictures
On Chesil Beach,Bleecker Street
The Night of the Hunter,United Artists
A Burning Hot Summer,IFC Films
War Room,Sony Pictures
Fur: An Imaginary Portrait of Diane Arbus,Picturehouse
"Copying Beethoven, (Klang der Stille)",MGM
Tinker Tailor Soldier Spy,Focus Features
Baby Boy,Columbia Pictures
My Friend Flicka,Twentieth Century Fox
A Price Above Rubies,Miramax
Roxanne Roxanne,Netflix
Allure,Samuel Goldwyn Films
Grace Is Gone,The Weinstein Company
The Help,DreamWorks Studios
Court,Zeitgeist Films
Team America: World Police,Paramount Pictures
Silent Tongue,Trimark
Southpaw,The Weinstein Company
Toad Road,Artsploitation Films
Liz & Dick,E1 Entertainment
The Kite Runner,Paramount Vantage
The Empty Hours,Strand Releasing
Untamed Heart,MGM Home Entertainment
The Last Song,Walt Disney Studios
Agnes of God,Sony Pictures Home Entertainment
Small Time Crooks,DreamWorks SKG
The Rainmaker,Paramount Pictures
The Motorcycle Diaries,Focus Features
The Story of Us,Universal Pictures
The Man Without a Face,Warner Home Video
Jefferson in Paris,Franco London Films
The Color Purple,Warner Home Video
Imaginary Crimes,Warner Home Video
Baghead,Sony Pictures Classics
Hairspray,New Line Home Entertainment
What Doesn't Kill You,Yari Film Group
Glory Road,Buena Vista
Bounce,Miramax Films
Unforgivable,Strand Releasing
Looking for an Echo,Regent
The Cured,IFC Films
Lone Star,Sony Pictures Home Entertainment
The Business of Strangers,IFC Films
Simon Killer,IFC Films
The Comedy,Tribeca Film
...And Justice for All,Columbia Pictures
New Life,Circle 4 Entertainment
This Thing of Ours,Small Planet
Drunkboat,Seven Arts Films/LANTERN LANE
Door to Door,Turner Network Television (TNT)
The Passion of the Christ,Newmarket Film Group
Good People,Millennium Entertainment
Cold Comes The Night,Stage 6
Treasure Island,King Pictures
Footprints,Paladin
Upside Down,Millenium Entertainment
Of Mice and Men,Metro-Goldwyn-Mayer Pictures
The Attack,Cohen Media Group
Henry Poole Is Here,Overture Fillms
Stealing Home,Warner Home Video
Man Push Cart,Films Philos
The Mostly Unfabulous Social Life of Ethan Green,Regent Releasing
Eight Men Out,Orion Pictures
Youth Without Youth,Sony Pictures Classics
Before We Go,Radius
Frenzy,Universal Pictures
West Side Story,United Artists Films
Public Access,Triboro
The Lost Skeleton of Cadavra,Fragmighty
Creepy (Kuripi: Itsuwari no rinjin),Shochiku Co. Ltd
Crazy Heart,Fox Searchlight Pictures
In Another Country,Kino Lorber Films
Life of a King,Millenium Entertainment
Dark Places,A24 and DIRECTV
Desert Dancer,Relativity Media
Gas Food Lodging,Sony Pictures Home Entertainment
11/11/2011,Rocket Releasing
Imitation Girl,Epic Pictures
The Apostle,New Films International
Michael Clayton,Warner Bros. Pictures
The Hand that Rocks the Cradle,Disney
I Origins,Fox Searchlight
Land of Plenty,IFC Films
Ghost Stories,IFC Midnight
Double Lover (L'amant double),Cohen Media Group
Bullet Head,Millennium Media
Hangin' with the Homeboys,New Line Cinema
Inhale,IFC Films
Girl With a Pearl Earring,Exhibition On Screen
Mercy Streets,Sony Pictures Entertainment
Explorers,Paramount Studios
John Q,New Line Cinema
Ever After: A Cinderella Story,20th Century Fox
Conviction,Fox Searchlight
Decoding Annie Parker,Entertainment One
Welcome To Happiness,Filmbuff (US)
Atlas Shrugged: Who Is John Galt?,Atlas Distribution
God's Not Dead 2,Pure Flix Entertainment
Jackie & Ryan,Main Street Films
Wonder,Lionsgate
Jimi: All Is by My Side,Xlrator Media
Amreeka,National Geographic
I Am Sam,New Line Cinema
Coherence,Oscilloscope Pictures
Solitude,Indican
Possession,USA Films
Saved!,MGM
Hush,Sony Pictures Home Entertainment
Up Close & Personal,Touchstone Pictures
Lianna,United Artists
Brideshead Revisited,Miramax Films
Three Godfathers,WARNER BROTHERS PICTURES
Zero Dark Thirty,Columbia Pictures
Black Widow,Twentieth Century Fox Home Entertainment
Opal Dream,Focus Features
Black Rock,LD Entertainment
The Kindergarten Teacher (Haganenet),Kino Lorber Films
Two Bits,MVD Music Video
Shadows and Fog,Orion Pictures Corporation
Gook,Samuel Goldwyn Films
Message from the King,MFTK
Bruno,Screen Media
Small Crimes,Netflix
Invictus,Warner Bros. Pictures
Been So Long,Netflix
Emperor,Roadside Attractions
Tommy's Honour,Roadside Attractions
Fanny & Alexander,Embassy Pictures Corporation
Masquerade,CJ Entertainment America
Honeydripper,Emerging Pictures
Body Double,Sony Pictures Home Entertainment
Eye for an Eye,Paramount Home Video
Brokeback Mountain,Focus Features
The Talented Mr. Ripley,Paramount Pictures
For Love of the Game,Universal Pictures
Supremacy,Well Go USA
Wrong Cops,IFC Films
Nicholas Nickleby,United Artists
One Day,Focus Features
Hot Summer Nights,A24
Person to Person,Magnolia Pictures
The Saddest Music in the World,IFC Films
My Brother The Devil,Paladin
Street Smart,Media Home Entertainment
Young & Beautiful (Jeune Et Jolie),IFC Films
A Question of Faith,Pure Flix Entertainment
Dark Matter,First Independent Pictures
Badland,Arcangelo Entertainment
Mala Noche,Janus Films
River's Edge,Island
Black Cop,Samuel Goldwyn Films
Unsane,Fingerprint Releasing and Bleecker Street
The Girl With All the Gifts,Saban Films
Saint Ralph,IDP
The Man From London (A Londoni Frfi),IFC Films
Life Is Hot in Cracktown,Lightning Media
Third Person,Sony Pictures Classics
The Post,20th Century Fox
Queen of the Desert,IFC Films
Callas Forever,Regent Releasing
The Dust Factory,MGM
In Darkness,Sony Pictures
The Electric Horseman,MCA Universal Home Video
Adieu au langage (Goodbye to Language),Kino Lorber
Snowden,Open Road Films
Sunshine State,Sony Pictures Classics
A Field in England,Drafthouse Films
Daughters of the Dust,Kino International
London Town,Dutch Tilt Film
Coming Up Roses,Dada Films
The Wild Hunt,Hannover House
Ripple Effect,Monterey Media
The Patience Stone,Sony Pictures Classics
A Civil Action,Touchstone
I'll See You In My Dreams,WARNER BROTHERS PICTURES
The Bad Batch,NEON
Into Temptation,First Look Studios
Shame,Fox Searchlight
Our Kind of Traitor,Film4
Sweet November,Warner Bros. Pictures
An American Crime,First Look Studios
God's Not Dead: A Light in Darkness,Pure Flix Entertainment
Brampton's Own,Dark Star Pictures
Snake & Mongoo$e,Rocky Mountain Pictures
Inherent Vice,Warner Bros. Pictures
The Human Resources Manager,Film Movement
Son Of God,20th Century Fox
La Sapienza,Kino Lorber Films
The Machinist,Paramount Classics
Fluke,MGM Home Entertainment
Drugstore Cowboy,Live Home Video
Obsessed,Sony/Screen Gems
An Unfinished Life,Miramax Films
Very Good Girls,Well Go USA
Between Love & Goodbye,Embrem Pictures
"Don't Worry, He Won't Get Far on Foot",Amazon Studios
1001 Grams,Kino Lorber
America America,Warner Home Video
Less Than Zero,Twentieth Century Fox Home Entertainment
Devil's Gate,IFC Films
The Ultimate Gift,Fox Faith
Right at Your Door,Lions Gate
Towelhead,Warner Independent
House of Sand and Fog,DreamWorks SKG
My All American,Aviron
Esteros,Breaking Glass Pictures
After Words,Level 33 Entertainment
Deadgirl,Dark Sky Films
Every Day,Orion Pictures
Kiss The Girls,Paramount Home Video
Cosmopolis,Entertainment One
Charlie St. Cloud,Universal Pictures
Primer,ThinkFilm
I Walked With a Zombie,Warner Home Video
Noah's Arc: Jumping the Broom,Logo Features
And So It Goes,Clarius Entertainment
Sex & Drugs & Rock & Roll,Lipsync Productions
Aloft,Sony Pictures Classics
The Last Man on Earth,MGM
Cradle Will Rock,Buena Vista Pictures
11-Sep,Atlas Distribution
Django Unchained,The Weinstein Co.
Take the Lead,New Line Cinema
The Curse of the Cat People,WARNER BROTHERS PICTURES
Comet,IFC Films
Evil Angels (A Cry in the Dark),Warner Home Video
Q,Blue Underground
Miss Stevens,Beachside Films
Puncture,Millennium Entertainment
Helena From The Wedding,Film Movement
Magnolia,New Line Cinema
Shanghai Calling,Starz Media
Boy Meets Girl,Wolfe Releasing
A Quiet Passion,Hurricane Films
Confirmation,ABC Signature Studios
Hellbent,Regent Releasing
Carnage,Sony Pictures Classics
Revenge,Sony Pictures Home Entertainment
The Adderall Diaries,A24 and DIRECTV
Nothing Bad Can Happen,Drafthouse Films
Take Shelter,Sony Pictures Classics
Starman,Columbia Pictures
Neo Ned,Blue Raven Films
The Reader,The Weinstein Co./MGM
The Age of Adaline,Lionsgate
How She Move,Paramount Vantage
100 Streets,Green Door Pictures
Birthday Girl,Miramax Films
Nebraska,Paramount Pictures
Sleeping with the Enemy,Twentieth Century Fox Home Entertainment
The Way of the Gun,Artisan Entertainment
Exposed,Lionsgate Premiere
The Promise,Open Road Films
Black or White,Relativity Media
Vanilla Sky,Paramount Pictures
Arranged,Film Movement
Claire in Motion,Breaking Glass Pictures
Careful What You Wish For,Hyde Park Entertainment
Exhibition,Kino Lorber
Almost Heroes,Warner Home Video
Winter's Tale,Warner Bros. Pictures
Little Pink House,Film Mode Entertainment
Upstream Color,Independent Pictures/Metrodome Dist.
Red Tails,20th Century Fox
Grace,Anchor Bay Entertainment
Wild Strawberries,Janus Films
Mary Shelley,IFC Films
Your Sister's Sister,IFC Films
Step Up 2 the Streets,Touchstone Pictures
Pretty Baby,Paramount Pictures
Beneath The Harvest Sky,Tribeca Film
The Last Sin Eater,Fox Faith Films
Mommie Dearest,Paramount Pictures
The Five Heartbeats,20th Century Fox Film Corporation
Barry,Netflix
The Ladykillers,Buena Vista Pictures
"Romulus, My Father",Magnolia Pictures
Pride,CBS Films
Ushpizin,Picturehouse
Heavy,Sony Pictures Home Entertainment
Free Ride,Phase 4 Films
Syrup,Magnolia Pictures
