movie,screenwriter,year
Crnicas,Sebastin Cordero,2005
Accattone (The Procurer) (The Scrounger),Pier Paolo Pasolini,1961
By The Sea,Angelina Jolie,2015
Taken 3,Robert Mark Kamen,2015
Cobb,Ron Shelton,1994
That's Entertainment! III,Bud Friedgen,1994
Cassandra's Dream,Woody Allen,2007
Havana Motor Club,Bent-Jorgen Perlmutt,2016
Auto Focus,Trevor Macy,2002
Star Trek Into Darkness,Damon Lindelof,2013
Joy Ride,J.J. Abrams,2001
Bushwick,Graham Reznick,2017
Defence of the Realm (Defense of the Realm),Martin Stellman,1985
Verdict on Auschwitz: The Frankfurt Trial 1963-1965,Rolf Bickel,2007
Trade,Jose Rivera,2007
Lethal Weapon 4,Channing Gibson,1998
Keep Your Right Up (Soigne ta droite),Jean-Luc Godard,2001
Indochine,Rgis Wargnier,1992
The Lion in Winter,James Goldman,1968
Bad Boys,Jim Mulholland,1995
The Grey Zone,Tim Blake Nelson,2002
Manic,Michael Bacall,2003
The Return of Frank James,Sam Hellman,1940
Anna Karenina,Clemence Dane,1935
The Butterfly Effect,J. Mackye Gruber,2004
The Face Of An Angel,Paul Viragh,2015
The Big Easy,Jack Baran,1987
13 Assassins,Daisuke Tengan,2011
Savages,Shane Salerno,2012
Restoration,Rupert Walters,1996
Patrick: Evil Awakens,Justin King,2014
Just Wright,Michael Elliot,2010
Pink Panther 2,Mike Weber,2009
Killing Season,Evan Daugherty,2013
Harry Brown,Gary Young,2010
Rush Hour 2,John Rogers,2001
The Magic of Belle Isle,Guy Thomas,2012
Unknown,Stephen Cornwell,2011
The House of Yes,Mark Waters (VIII),1997
Ben-Hur,Keith R. Clarke,2016
Petits Frres,Jacques Doillon,2001
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,Steven Okazaki,2007
Day of the Dead: Bloodline,Mark Tonderai,2018
Barrymore,William Luce,2012
The Green Inferno,Guillermo Amoedo,2015
Saturday the 14th,Howard R. Cohen,1981
Moving McAllister,Ben Gourley,2007
Happily N'ever After,Rob Moreland,2006
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,1991
Von Richthofen and Brown,Joyce H. Corrington,1971
V for Vendetta,Lilly Wachowski,2006
Deeply,Sherri Elwood,2001
Shrek the Third,Jeffrey Price,2007
Joyeux Nol (Merry Christmas),Christian Carion,2006
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),Luis Buuel,1972
Kelly's Heroes,Troy Kennedy Martin,1970
The Missouri Breaks,Thomas McGuane,1976
Payback,Jennifer Baichwal,2012
Salvo,Antonio Piazza,2014
The More the Merrier,Frank Ross,1943
Written in Blood,John Terlesky,2002
Shark Tale,Mark Swift,2004
Lonely are the Brave,Dalton Trumbo,1962
The Ides of March,Grant Heslov,2011
Slackers,David H. Steinberg,2002
Commune,Jonathan Berman,2006
Google Me,Jim Killeen,2007
M,Fritz Lang,1931
Hearts and Minds,Peter Davis,1975
Last Tango in Paris,Bernardo Bertolucci,1972
Baskin,Cem Ozuduru,2016
"Olympic Pride, American Prejudice",Deborah Riley Draper,2016
She Wore a Yellow Ribbon,Laurence Stallings,1949
Atlas Shrugged: Part I,John Aglialoro,2011
Step Up 2 the Streets,Karen Barna,2008
Man With a Movie Camera,Dziga Vertov,1929
The Ant Bully,John A. Davis,2006
A Man Called Horse,Jack de Witt,1970
Playing It Cool,Paul Vicknair,2015
Fools Rush In,Katherine Reback,1997
"Food, Inc.",Robert Kenner,2009
That Darn Cat,Larry Karaszewski,1997
On Deadly Ground,Robin U. Russin,1994
Luther,Bart Gavigan,2003
Stick,Elmore Leonard,1985
The Mostly Unfabulous Social Life of Ethan Green,David Vernon,2006
The Lazarus Effect,Jeremy Slater,2015
Max Manus: Man of War,Thomas Nordseth-Tiller,2010
Ghost Rider,Mark Steven Johnson,2007
Where Is Kyra?,Darci Picoult,2018
Soundtrack For A Revolution,Dan Sturman,2009
Hover,Cleopatra Coleman,2018
Star Wars: The Clone Wars,Steven Melching,2008
The X-Files: I Want to Believe (The X Files 2),Frank Spotnitz,2008
Little Ashes,Philippa Goslett,2009
Time Bandits,Terry Gilliam,1981
"Kumiko, the Treasure Hunter",Nathan Zellner,2015
Pee-wee's Big Adventure,Phil Hartman,1985
G,Christopher Scott Cherot,2005
Audrie & Daisy,Bonni Cohen,2016
Antitrust,Howard Franklin,2001
Gangster's Paradise: Jerusalema,Ralph Ziman,2010
Amanda and Jack Go Glamping,Brandon Dickerson,2017
They Will Have to Kill Us First,Johanna Schwartz,2016
Last Tango in Paris,Franco Arcalli,1972
Chloe,Jacques Fieschi,2010
Trespass Against Us,Alastair Siddons,2017
The Champ,Leonard Praskins,1931
Breakaway,Matt Simmons,2011
Good Boy!,John Hoffman,2003
One Small Hitch,Dode Levenson,2015
Blue Valentine,Joey Curtis,2010
The Young Lions,Edward Anhalt,1958
Ice Castles,Gary L. Baim,1978
This is 40,Judd Apatow,2012
Images,Robert Altman,1972
Better Living Through Chemistry,Geoff Moore,2014
Transylmania,Patrick Casey,2009
Vincent N Roxxy,Gary Michael Schultz,2017
Carousel,Henry Ephron,1956
Back to the Future,Robert Zemeckis,1985
Outside Providence,Peter Farrelly,1999
Suspect,Eric Roth,1987
The Second Chance,Chip Arnold,2006
Nightcrawler,Dan Gilroy,2014
"If I Want To Whistle, I Whistle",Catalin Mitulescu,2011
Mary and The Witch's Flower,Riko Sakaguchi,2018
Punishment Park,Peter Watkins,1971
Vice Versa,Dick Clement,1988
Night at the Museum 2: Battle of the Smithsonian,Scott Frank,2009
The Associate,Nick Thiel,1996
Less Than Zero,Harley Peyton,1987
Child 44,Richard Price,2015
Golmaal 3,Rohit Shetty,2010
I Sell the Dead,Glenn McQuaid,2008
Morning Glory,Aline Brosh McKenna,2010
Wagons East!,Matthew Carlson,1994
The French Connection II,Alexander Jacobs,1975
Jason Goes to Hell - The Final Friday,Adam Marcus,1993
Madame Bovary,Felipe Marino,2015
Son of Saul,Clara Royer,2015
Futurama: Bender's Big Score,Matt Groening,2007
A Good Woman,Howard Himelstein,2006
Blue Crush,John Stockwell,2002
