movie,screenwriter,year
Retreat,Janice Hallett,2011
Bandolero,James Lee Barrett,1968
Lincoln,Tony Kushner,2012
Now You See Me,Boaz Yakin,2013
"Easy Come, Easy Go",Allan Weiss,1967
War of the Worlds: Goliath,Joe Pearson,2014
Shanghai,Hossein Amini,2015
Just Write,Stan Williamson,1997
Crave,Robert Lawton,2013
Enemy Mine,Edward Khmara,1985
Outbreak,Laurence Dworet,1995
The Lion King II: Simba's Pride,Flip Kobler,1998
Think Like a Man,David A. Newman,2012
Another Country,Julian Mitchell,1984
A Promise,Patrice Leconte,2014
The Young Black Stallion,Jeanne Rosenberg,2003
All Stars,Paul Gerstenberger,2013
Eat Drink Man Woman (Yin shi nan nu),James Schamus,1994
Beethoven's 3rd,Jeff Schechter,2000
Sex and the City,Michael Patrick King,2008
The Game,Michael Ferris,1997
The Concert (Le concert),Matthew Robbins,2010
High Anxiety,Mel Brooks,1977
Field of Dreams,Phil Alden Robinson,1989
The Lookalike,Michele Gray,2014
The Hunger Games: Catching Fire,Michael DeBruyn,2013
Last Train from Gun Hill,James Poe,1959
The Promise,Robin Swicord,2017
Clerks,Kevin Smith,1994
Fear X,Nicolas Winding Refn,2003
In the Army Now,Stu Krieger,1994
Casualties of War,David Rabe,1989
Old Gringo,Luis Puenzo,1989
An Autumn Afternoon,Kgo Noda,1964
Morning Light,Mark Monroe,2008
The Cat and the Canary,Alfred A. Cohn,1927
Death Wish,Joe Carnahan,2018
Endless Poetry (Poesa Sin Fin),Alejandro Jodorowsky,2017
King Arthur: Legend Of The Sword,Guy Ritchie,2017
Like Stars on Earth,Amol Gupte,2007
Dr. Dolittle,Nat Mauldin,1998
War Horse,Lee Hall,2011
Small Time,Joel Surnow,2014
Bronco Billy,Dennis Hackin,1980
Men degustaci (Tasting Menu),Roger Gual,2014
The Tribe,Miroslav Slaboshpitsky,2015
The Killer Inside Me,John Curran,2010
Frantz,Philippe Piazzo,2017
Phase 7,Nicols Goldbart,2011
Workingman's Death,Michael Glawogger,2006
Get Real,Patrick Wilde,1999
Abe & Phil's Last Poker Game,Howard Weiner,2018
Gerald's Game,Mike Flanagan,2017
The Exorcism of Emily Rose,Paul Harris Boardman,2005
North,Andrew Scheinman,1994
Americano,Mathieu Demy,2012
All the Queen's Men,David Schneider,2001
Permanent Midnight,David Veloz,1998
Rammbock: Berlin Undead,Benjamin Hessler,2011
Don't Knock Twice,Mark Huckerby,2017
Ong-Bak (Ong Bak: Muay Thai Warrior),Suphachai Sithiamphan,2005
Woman in Gold,Alexi Kaye Campbell,2015
Jack and the Beanstalk,Nathaniel Curtis,1952
Little Caesar,Francis Edward Faragoh,1931
Butterfly Kiss,Frank Cottrell Boyce,1996
Pinocchio,Vincenzo Cerami,2002
The Harmonists,Klaus Richter,1999
The House on Sorority Row,Bobby Fine,1983
Airport 1975,Don Ingalls,1974
Puppet Master: The Littlest Reich,S. Craig Zahler,2018
The Smurfs,David N. Weiss,2011
Naked Ambition: An R Rated Look at an X Rated Industry,Charles Holland,2009
Wrestling Ernest Hemingway,Steven Conrad,1994
The Way Home (Jibeuro),Jeong-hyang Lee,2002
Return to the Blue Lagoon,Henry De Vere Stacpoole,1991
Major League: Back to the Minors,John Warren,1998
The Dirty Dozen,Nunnally Johnson,1967
Never Forever,Gina Kim,2007
Primal Fear,Ann Biderman,1996
Tatsumi,Yoshihiro Tatsumi,2012
50/50,Will Reiser,2011
Girl In Progress,Hiram Martnez,2012
A Canterbury Tale,Michael Powell,1949
Mike and Dave Need Wedding Dates,Brendan O'Brien,2016
Courageous,Stephen Kendrick,2011
The Rachel Divide,Laura Brownson,2018
White Water Summer,AmNya Starr,1987
The Jazz Singer,Alfred A. Cohn,1927
The Upside of Anger,Mike Binder,2005
I Am Chris Farley,Steve Burgess,2015
The Shaggy D.A.,Don Tait,1976
An American Crime,Irene Turner,2007
My Awkward Sexual Adventure,Jonas Chernick,2013
You're Not You,Shana Feste,2014
Branded,Jamie Bradshaw,2012
The Tigger Movie,Jun Falkenstein,2000
Beverly Hills Chihuahua,Jeffrey Bushell,2008
Doomsday,Neil Marshall,2008
The Day of the Locust,Waldo Salt,1975
The Rocketeer,Paul de Meo,1991
Man in the Chair,Michael Schroeder,2007
September Dawn,Christopher Cain,2007
You're Not You,Jordan Roberts,2014
Shriek If You Know What I Did Last Friday the 13th,Joe Nelms,2000
Four Brothers,Paul Lovett,2005
Songs My Brothers Taught Me,Chlo Zhao,2016
"Lo and Behold, Reveries of the Connected World",Werner Herzog,2016
Imagine That,Chris Matheson,2009
Koi... Mil Gaya (I Found Someone),Rakesh Roshan,2003
Kiss of the Dragon,Robert Mark Kamen,2001
Home Alone,John Hughes,1990
Knight & Day,Scott Frank,2010
Windtalkers,John Rice,2002
Big Fat Liar,Karey Kirkpatrick,2002
Heaven's Gate,Michael Cimino,1980
Harold's Going Stiff,Keith E. Wright,2013
The Mambo Kings,Cynthia Cidre,1992
Straight Jacket,Richard Day,2004
Ne le Dis  Personne (Tell No One),Harlan Coben,2006
Soul on a String,Zhang Yang,2017
Shopgirl,Steve Martin,2005
What Women Want,Chen Daming,2011
Everything Must Go,Daniela Rush,2011
Snow Angels,David Gordon Green,2007
After the Ball,Kate Melville,2015
Mafia!,Jim Abrahams,1998
Shakespeare in Love,Marc Norman,1998
Mysterious Island,Crane Wilbur,1961
The V.I.P.s,Terence Rattigan,1963
Wolf,Jim Taihuttu,2013
Heartbreakers,Robert Dunn,2001
Late Bloomers,Julia Dyer,1997
La princesse de Montpensier (The Princess of Montpensier),Jean Cosmos,2011
"3, 2, 1... Frankie Go Boom",Jordan Roberts,2012
Slaves of New York,Tama Janowitz,1989
Beauty (Skoonheid),Didier Costet,2011
Bad Boys,Michael Barrie,1995
My Amityville Horror,Eric Walter,2013
Into the Night,Ron Koslow,1985
Space Station 76,Jennifer Elise Cox,2014
The Samaritan,David Weaver,2012
American Pie 2,Adam Herz,2001
Dear White People,Justin Simien,2014
Quadrophenia,Dave Humphries,1979
Megan Leavey,Annie Mumolo,2017
Merci Docteur Rey,Andrew Litvack,2002
The Debt,Peter Straughan,2011
Far from Men,David Oelhoffen,2015
Trading Places,Herschel Weingrod,1983
Just Cause,Jeb Stuart,1995
Hardware,Richard Stanley,1990
Red White & Blue,Simon Rumley,2010
Ong Bak 2,Nontakorn Taveesuk,2009
The Forest,Nick Antosca,2016
The Death of Mr. Lazarescu,Cristi Puiu,2006
Fix,Tao Ruspoli,2009
Mafioso,Marco Ferreri,1964
Hanky Panky,David Taylor,1982
September Tapes,Christian Johnson,2004
Lady in the Lake,Raymond Chandler,1947
Lila Says,Ziad Doueiri,2005
Victoria,Sebastian Schipper,2015
Thank You For Playing,Malika Zouhali-Worrall,2016
Wrecker,Micheal Bafaro,2015
Absurdistan,Ahmet Servet Golbol,2008
Eros,Michelangelo Antonioni,2004
Man of the Century,Gibson Frazier,1999
Red Lights,Rodrigo Corts,2012
Get Rich or Die Tryin',Terence Winter,2005
Downriver,Grant Scicluna,2015
The Ritz,Terrence McNally,1976
Bruno,Sacha Baron Cohen,2009
Mercy Streets,Jon Gunn,2000
Betty,Ixaac Paul Ackley,1992
Oculus,Mike Flanagan,2014
The Killing of a Chinese Bookie,John Cassavetes,1976
Niagara,Charles Brackett,1953
Cellmates,Stefania Moscato,2012
Silverado,Lawrence Kasdan,1985
Queen Margot (La Reine Margot),Danile Thompson,1994
Son of the Pink Panther,Blake Edwards,1993
Hellraiser: Hellworld,Carl Dupre,2005
Chitty Chitty Bang Bang,Roald Dahl,1968
Big Momma's House 2,Don Rhymer,2006
Arthur and the Invisibles (Arthur and the Minimoys),Luc Besson,2007
Million Dollar Arm,Tom McCarthy,2014
Metropolitan,Whit Stillman,1990
The Condemned,Roberto Bus-Garca,2013
Judy Moody and the NOT Bummer Summer,Kathy Waugh,2011
Black Cloud,Rick Schroder,2005
Ikiru,Akira Kurosawa,1956
Infamous,George Plimpton,2006
Double Dragon,Michael Davis,1994
Multiplicity,Babaloo Mandel,1996
Fighting Tommy Riley,J.P. Davis,2005
Drew: The Man Behind The Poster,Charles Ricciardi,2013
Burning Sands,Christine Berg,2017
Final Fantasy VII: Advent Children,Kazushige Nojima,2006
The Prince of Egypt,Nicholas Meyer,1998
Sleepy Hollow,Andrew Kevin Walker,1999
Black Swan,Mark Heyman,2010
The BFG,Melissa Mathison,2016
Rememory,Michael Vukadinovich,2017
The Conquest,Michal Darmon,2011
Vitus,Fredi M. Murer,2007
Golden Door (Nuovomondo),Charlotte Gainsbourg,2007
Breaking the Waves,Lars von Trier,1996
A Burning Hot Summer,Marc Cholodenko,2012
Tetro,Francis Ford Coppola,2009
Pat and Mike,Ruth Gordon,1952
Take Me Out to the Ball Game,George Wells,1949
The Kingdom,Matthew Michael Carnahan,2007
Murder She Said,Jack Seddon,1961
Hulk,Michael France,2003
Akira,Katsuhiro tomo,1988
Appurushdo (Appleseed),Haruka Handa,2004
Ishtar,Elaine May,1987
Bettie Page Reveals All,Doug Miller,2013
Devdas,Sanjay Leela Bhansali,2002
Wide Awake,Alan Berliner,2006
The Last Stand,Andrew Knauer,2013
Along Came a Spider,Marc Moss,2001
Paradise Now,Hany Abu-Assad,2005
Morning Glory,Zo Akins,1933
Half Light,Craig Rosenberg,2005
Barney's Great Adventure,Stephen White,1998
Stranger Than Paradise,Jim Jarmusch,1984
We Are Twisted F***ing Sister!,Andrew Horn,2016
The Next Three Days,Paul Haggis,2010
"Crazy, Stupid, Love.",Dan Fogelman,2011
Toy Story,Joss Whedon,1995
JFK,Oliver Stone,1991
The Mod Squad,Scott Silver,1999
Van Helsing,Stephen Sommers,2004
Madea's Family Reunion,Tyler Perry,2006
Henry Fool,Hal Hartley,1998
Antz,Todd Alcott,1998
Friends & Lovers,George Haas,1999
Urban Legends: Final Cut,Paul Harris Boardman,2000
Black Death,Dario Poloni,2011
Transpecos,Clint Bentley,2016
Hanover Street,Peter Hyams,1979
Black Narcissus,Emeric Pressburger,1947
The Three Musketeers,Alex Litvak,2011
Tomorrow You're Gone,Matthew F. Jones,2013
The Giver,Michael Mitnick,2014
Roustabout,Allan Weiss,1964
Genghis Blues,Roko Belic,2000
Britannia Hospital,David Sherwin,1982
Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky,2018
Working Girl,Kevin Wade,1988
The Double,Michael Brandt,2011
Stolen Summer,Pete Jones,2002
13 Sins,Daniel Stamm,2014
All In: The Poker Movie,Douglas Tirola,2012
About Scout,Laurie Weltz,2016
The Colony,Patrick Tarr,2013
The Hills Have Eyes,Grgory Levasseur,2006
Father's Day,Jeremy Gillespie,2012
Central Station (Central do Brasil),Joao Emanuel Carneiro,1998
Clandestine Childhood,Marcelo Mller,2013
Johnny Frank Garrett's Last Word,Tony Giglio,2016
Kedma,Amos Gitai,2003
On_Line,Jed Weintrob,2003
The Dogs of War,Gary M. Devore,1980
Karl Marx City,Petra Epperlein,2017
Transformers: Dark of the Moon,Ehren Kruger,2011
Adam's Apples,Anders Thomas Jensen,2007
The Salt of the Earth,Juliano Ribeiro Salgado,2015
My Favorite Martian,Sheri Stoner,1999
The Struggle,John Emerson,1931
The Turin Horse,Lszl Krasznahorkai,2012
Black or White,Mike Binder,2015
Bully,Roger Pullis,2001
Darfur Now,Ted Braun,2007
Russell Mulcahy's Tale of the Mummy,John Esposito,1999
Cadence,Dennis Schryack,1989
Reset,Zha Muchun,2017
Third World Cop,Christopher Browne,1999
Cavite,Ian Gamazon,2006
Legionnaire,Rebecca Morrison,1998
King Jack,Felix Thompson,2016
The Constant Gardener,Jeffrey Caine,2005
Fury,Fritz Lang,1936
Trapped,Greg Iles,2002
The Big White,Colin Frieson,2005
David and Bathsheba,Philip Dunne,1951
Super Troopers 2,Jay Chandrasekhar,2018
Crocodile Dundee II,Brett Hogan,1988
Siberia,Scott B. Smith,2018
Gigantic,Adam Nagata,2009
The Dukes,James Andronica,2007
The Babysitter,Brian Duffield,2017
From Other Worlds,Barry Strugatz,2004
Atrocious,Fernando Luna,2011
The Great Beauty,Umberto Contarello,2013
L'Iceberg,Dominique Abel,2005
Nacho Libre,Jerusha Hess,2006
The Tale of Despereaux,Chris Viscardi,2008
Carlito's Way: Rise to Power,Michael S. Bregman,2005
The Cooler,Frank Hannah,2003
Cowboys & Aliens,Damon Lindelof,2011
Imitation of Life,William Hurlbut,1934
The Guard,John Michael McDonagh,2011
Hear My Song,Peter Chelsom,1991
The Hunger Games: Mockingjay - Part 2,Danny Strong,2015
Shoeshine (Sciusci),Adolfo Franci,1947
Inspector Gadget 2,Ron Anderson,2003
Kill List,Amy Jump,2012
What's Eating Gilbert Grape,Peter Hedges,1993
Norbit,Eddie Murphy,2007
Labyrinth,Terry Jones,1986
American Fable,Anne Hamilton,2017
Lara Croft Tomb Raider - The Cradle of Life,Dean Georgaris,2003
Batman & Mr. Freeze: Subzero,Randy Rogel,1998
Subject Two,Philip Chidel,2006
Stardust,Jane Goldman,2007
Checking Out,Richard Marcus,2005
ZMD: Zombies of Mass Destruction,Ramon Isao,2009
Marathon: The Patriots Day Bombing,Anne Sundberg,2016
"What's Up, Doc?",David Newman,1972
American Son,Eric Schmid,2008
Black Christmas,Roy Moore,2006
The Seven Year Itch,George Axelrod,1955
Elite Squad: The Enemy Within,Brulio Mantovani,2011
a/k/a Tommy Chong,Josh Gilbert,2006
Blue Sunshine,Jeff Lieberman,1976
Love Actually,Richard Curtis,2003
The First Grader,Ann Peacock,2011
Penance,Jake Kennedy,2009
The Italian Job,Troy Kennedy Martin,1969
In Search of Haydn,Phil Grabsky,2012
Goat,Andrew Neel,2016
Surviving Christmas,Harry Elfont,2004
Cleopatra's Second Husband,Jon Reiss,1998
Miss Potter,"Richard Maltby, Jr.",2007
Kirk Cameron's Saving Christmas,Cheston Hervey,2014
Shiri,Je-kyu Kang,2002
bwoy,John G. Young,2017
The Cobweb,John Paxton,1955
Space Jam,Steve Rudnick,1996
Thank You for Smoking,Jason Reitman,2006
Polisse,Mawenn,2012
Boyz n the Hood,John Singleton,1991
Red Dog: True Blue,Daniel Taplitz,2016
Paul,Nick Frost,2011
Aloha,Cameron Crowe,2015
Carol Channing: Larger Than Life,Adam Zucker,2012
October Baby,Theresa Preston,2012
Screwed,Colin Butts,2011
The Immigrant,Ric Menello,2014
Ira and Abby,Jennifer Westfeldt,2006
Allegiance,Michael Connors,2012
Big Fish,John August,2003
Looking for Richard,Frederic Kimball,1996
The Story Of Luke,Alonso Mayo,2013
Penumbra,Adrian Garca Bogliano,2012
Dick Tracy,"Jack Epps, Jr.",1990
Daddy's Home,John Morris,2015
Christine,John Carpenter,1983
Crazy in Alabama,Mark Childress,1999
Black Widow,Anna Hamilton Phelan,1987
Tiger Eyes,Judy Blume,2013
Baby Boom,Nancy Meyers,1987
Mr. Holmes,Arthur Conan Doyle,2015
Little Caesar,W.R. Burnett,1931
Total Recall,Mark Bomback,2012
Blood Brother,Steve Hoover,2013
Monsters University,Robert L. Baird,2013
Universal Soldier: Day of Reckoning,Jon Greenhalgh,2012
Lethal Weapon,Shane Black,1987
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,2013
Draft Day,Scott Rothman,2014
The Parallax View,Lorenzo Semple Jr.,1974
Urban Cowboy,James Bridges,1980
Possession,David Henry Hwang,2002
Rumble Fish,S.E. Hinton,1983
The Pagemaster,David Kirschner,1994
Santa & Andrs,Carlos Lechuga,2017
The Island,Peter Benchley,1980
How to Survive a Plague,T. Woody Richman,2012
Monster House,Dan Harmon,2006
Dr. T and the Women,Anne Rapp,2000
Ultraviolet,Kurt Wimmer,2006
Super Troopers 2,Kevin Heffernan,2018
Severed Ways: The Norse Discovery of America,Tony Stone,2009
Kid Cannabis,John Stockwell,2014
Beverly Hills Cop II,Warren Skaaren,1987
Zarafa,Alexander Abela,2015
Starship Troopers,Ed Neumeier,1997
Maniac Cop,Lawrence Cohen,1988
Bugsy,James Toback,1991
Normal Life,Peg Haller,1996
Abraham Lincoln,Gerrit J. Lloyd,1930
Nobody Else But You,Grald Hustache-Mathieu,2012
Outlander,Dirk Blackman,2009
Border Incident,John C. Higgins,1949
Meet Me In Montenegro,Linnea Saasen,2015
Going Places (Les valseuses),Philippe Dumarcay,1974
The Butcher's Wife,Marjorie Schwartz,1991
The Book of Life,Hal Hartley,1998
Desperado,Robert Rodriguez,1995
Men with Brooms,Paul Gross,2002
The Ice Pirates,Stanford Sherman,1984
A Farewell to Fools,Anusavan Salamanian,2014
A New Life,Alan Alda,1988
Heartbreak Ridge,James Carabatsos,1986
The Miracle of Morgan's Creek,Preston Sturges,1944
Amistad,David H. Franzoni,1997
Hitman: Agent 47,Michael Finch,2015
Austin Powers: International Man of Mystery,Mike Myers,1997
Southland Tales,Richard Kelly,2007
The Comancheros,James Edward Grant,1961
After Innocence,Jessica Sanders,2005
The Nut Job 2: Nutty by Nature,Cal Brunker,2017
Tales from the Golden Age,Cristian Mungiu,2011
"Mother, May I Sleep with Danger?",Amber Coney,2016
WALL-E,Andrew Stanton,2008
Severe Clear,Kristian Fraga,2010
There's Something About Mary,Peter Farrelly,1998
Dead Reckoning,Allen Rivkin,1947
Baskin,Can Evrenol,2016
Cherry Tree Lane,Paul Andrew Williams,2010
Once Upon a Time in the West,Sergio Donati,1968
Theeb,Bassel Ghandour,2015
Strictly Ballroom,Baz Luhrmann,1992
Scary Movie,Marlon Wayans,2000
Entrapment,Ronald Bass,1999
Winter in Wartime,Meike De Jong,2011
Over the Hedge,Len Blum,2006
Suck,Rob Stefaniuk,2010
Creature,Fred Andrews,2011
The Hidden Blade,Yoshitaka Asama,2006
The Next Karate Kid,Robert Mark Kamen,1994
Vanya on 42nd Street,Andre Gregory,1995
A Wolf at the Door (O Lobo atrs da Porta),Fernando Coimbra,2015
Short Time,Gary Ross,1990
Nim's Island,Mark Levin,2008
The Green Berets,James Lee Barrett,1968
Survivor,Philip Shelby,2015
Transporter 2,Robert Mark Kamen,2005
Brokedown Palace,Adam Fields,1999
Three Men and a Baby (3 Men and a Baby),James Orr,1987
Murder at 1600,Wayne Beach,1997
Deception,Patrick Marber,2008
Conversations With God,Neale Donald Walsch,2006
John Carpenter's Ghosts of Mars,John Carpenter,2001
Strike (Stachka),Sergei M. Eisenstein,1925
Stealing Beauty,Susan Minot,1996
The Concert (Le concert),Radu Mihaileanu,2010
Dark Night of the Scarecrow,J.D. Fiegelson,1981
Middle Men,Andy Weiss,2010
Single White Female,Don Roos,1992
The Specialist,Alexandra Seros,1994
Blood and Sand,Jo Swerling,1941
Little Manhattan,Jennifer Flackett,2005
D.C. Cab,Joel Schumacher,1983
Meeting Venus,Istvn Szab,1991
The Burrowers,J.T. Petty,2008
Lethal Weapon 4,Jonathan Lemkin,1998
The Hangover Part III,Todd Phillips,2013
The Four Feathers,Hossein Amini,2002
The Fall of the Roman Empire,Basilio Franchina,1964
Three Amigos!,Lorne Michaels,1986
The Milagro Beanfield War,John Nichols,1988
Tuck Everlasting,Jeffrey Lieber,2002
The Baby,Abe Polsky,1973
Wide Awake,M. Night Shyamalan,1998
Portrait of Wally,Andrew Shea,2012
Vincere,Marco Bellocchio,2010
Bonneville,Daniel D. Davis,2006
Zombi 2,Dardano Sacchetti,1980
Hammett,George More O'Ferrall,1982
Legion,Peter Schink,2010
Wolf Creek 2,Greg McLean,2014
You Will Be My Son,Gilles Legrand,2013
Yellow Submarine,Erich Segal,1968
Papadopoulos & Sons,Marcus Markou,2012
Grand Prix,William Hanley,1966
Tim and Eric's Billion Dollar Movie,Tim Heidecker,2012
Tom and Jerry: The Movie,Dennis Marks,1992
Teenage Cocktail,Chris Sivertson,2016
Police Academy 7: Mission to Moscow,Neal Israel,1994
As I Lay Dying,James Franco,2013
Rabid,David Cronenberg,1979
Inside Out,Brian Stewart,2011
Irreplaceable You,Bess Wohl,2018
"No God, No Master",Terry Green,2014
Dark Victory,Bertram Bloch,1939
Keep the Lights On,Ira Sachs,2012
Flash Gordon,Michael Allin,1980
Humoresque,Zachary Gold,1946
Dreams Rewired,Mukul Patel,2015
Frankenstein's Army,Miguel Tejada-Flores,2013
Tiger Bay,Shelley Smith,1959
Kind Hearts and Coronets,Robert Hamer,1949
The Best and the Brightest,Josh Shelov,2011
Pushing Tin,Glen Charles,1999
Easy,Jane Weinstock,2004
First Sunday,David E. Talbert,2008
The Possession of Michael King,David Jung,2014
Certified Copy (Copie Conforme),Massoumeh Lahidji,2011
Paura nella citt dei morti viventi (City Of The Living Dead) (The Gates of Hell),Dardano Sacchetti,1980
Captain America: The First Avenger,Christopher Markus,2011
Dracula Has Risen From the Grave,John Elder,1969
Jurassic World,Amanda Silver,2015
Che: Part Two (Guerrilla),Peter Buchman,2008
Burn!,Franco Solinas,1969
The Lion King,Jonathan Roberts,1994
The Tiger Hunter,Lena Khan,2017
The Accidental Husband,Clare Naylor,2009
Quarantine,John Erick Dowdle,2008
Freddy vs. Jason,Mark Swift,2003
Black Hawk Down,Ken Nolan,2001
Man on a Ledge,Pablo F. Fenjves,2012
The Girl with the Dragon Tattoo,Nikolaj Arcel,2009
The Chorus (Les Choristes),Philippe Lopes-Curval,2005
Precious Life,Shlomi Eldar,2011
Absence Of Malice,Kurt Luedtke,1981
"He Loves Me, He Loves Me Not",Laetitia Colombani,2002
King Arthur,David H. Franzoni,2004
Pin Cushion,Deborah Haywood,2018
Cat Ballou,Roy Chanslor,1965
Night at the Museum: Secret of the Tomb,Michael Handelman,2014
It Takes Two,Deborah Dean Davis,1995
A Horrible Way to Die,Simon Barrett,2011
Johnny Got His Gun,Dalton Trumbo,1971
Still Smokin',Cheech Marin,1983
The Field,Jim Sheridan,1990
Waltz with Bashir,Ari Folman,2008
No One Lives,David Lawrence Cohen,2013
Sunshine,Alex Garland,2007
La tte en friche (My Afternoons with Margueritte),Jean Becker,2011
American: The Bill Hicks Story,Matt Harlock,2011
Live Flesh (Carne trmula),Jorge Guerricaechevarra,1998
Foreverland,Shawn Riopelle,2013
Being John Malkovich,Charlie Kaufman,1999
Hillary's America: The Secret History of the Democratic Party,Bruce Schooley,2016
Lost in Paris (Paris pieds nus),Dominique Abel,2017
Zen Noir,Marc Rosenbush,2006
Analyze That,Peter Steinfeld,2002
Clifford,Will Aldis,1994
I Can Only Imagine,Brent McCorkle,2018
El Bulli: Cooking In Progress,Gereon Wetzel,2011
Prisoners,Aaron Guzikowski,2013
The Losers,James Vanderbilt,2010
The Fountain,Darren Aronofsky,2006
Pocahontas II: Journey to a New World,Cindy Marcus,1998
Swept Away,Guy Ritchie,2002
Big Stone Gap,Adriana Trigiani,2015
Requiem For The American Dream,Kelly Nyks,2016
Signs,M. Night Shyamalan,2002
Russkies,Michael Nankin,1987
Exodus: Gods and Kings,Steven Zaillian,2014
House of Games,David Mamet,1987
The Hunter,Ted Leighton,1980
Sushi Girl,Kern Saxton,2013
Made in Heaven,Gideon Ray,1987
Bandidas,Luc Besson,2006
Affliction,Paul Schrader,1997
Big Top Pee-wee,Paul Reubens,1988
Paradise: Faith,Veronika Franz,2013
Face to Face,Michael Rymer,2013
Rio Conchos,Joseph Landon,1964
Which Way Is Up?,Carl Gottlieb,1977
The Decline of Western Civilization,Penelope Spheeris,1981
Gentlemen Broncos,Jared Hess,2009
Vatel,Tom Stoppard,2000
It's Always Fair Weather,Adolph Green,1955
The Mark of Zorro,Johnston McCulley,1920
Mrs. Hyde (Madame Hyde),Serge Bozon,2018
Happy Feet Two,Warren Coleman,2011
Kate & Leopold,James Mangold,2001
Kataude mashin gru (The Machine Girl),Noboru Iguchi,2008
Song Without End,Oscar Millard,1960
Union Square,Lillian Miranda,2004
London Has Fallen,Creighton Rothenberger,2016
The Hills Run Red,John Carchietta,2009
Italian for Beginners,Lone Scherfig,2001
Mom and Dad Save the World,Ed Solomon,1992
Code 46,Frank Cottrell Boyce,2004
In Love and War,Dimitri Villard,1996
Wake Wood,Brendan McCarthy,2009
Impromptu,Sarah Kernochan,1991
Hustlers,Adam Minarovich,2013
Z,Jorge Semprn,1969
Death & Texas,Kevin DiNovis,2004
Tears of the Sun,Patrick Cirillo,2003
"Food, Inc.",Elise Pearlstein,2009
The Watcher,Joe Charbanic,2000
Army of One,Scott Rothman,2016
National Lampoon's Senior Trip,I. Marlene King,1995
Spy Game,Michael Frost Beckner,2001
Wolfen,David Eyre,1981
Article 99,Ron Cutler,1992
BLAST!,Emily Kagan,2009
The Battle of Algiers (La Battaglia di Algeri),Franco Solinas,1967
The Neon Demon,Mary Laws,2016
Space Chimps,Kirk De Micco,2008
Autumn in New York,Allison Burnett,2000
Trust the Man,Bart Freundlich,2006
Curse of Chucky,Don Mancini,2013
The Catcher Was A Spy,Robert Rodat,2018
Say Uncle,Peter Paige,2006
La Femme Nikita (Nikita),Luc Besson,1990
Pete's Dragon,David Lowery,2016
Girls Can't Swim,Christophe Honor,2002
Scorched Earth,Bobby Mort,2018
Vivan las Antipodas!,Victor Kossakovsky,2013
This Thing of Ours,Danny Provenzano,2003
Raze,Robert Beaucage,2014
Beyond the Sea,Lewis Colick,2004
Dracula,Garrett Elsden Fort,1931
The Shining,Stanley Kubrick,1980
Tag,Mark Steilen,2018
The Preacher's Wife,Nat Mauldin,1996
Another Thin Man,Albert Hackett,1939
Dior and I,Frederic Tcheng,2015
The First Purge,James DeMonaco,2018
Cruel Intentions,Roger Kumble,1999
The Ghost Writer,Robert Harris,2010
Anastasia,Bruce Graham,1997
Enter the Void (Soudain le vide),Gaspar No,2010
The Pool,Chris Smith,2008
The Lucky Ones,Dirk Wittenborn,2008
The Wild Hunt,Alexandre Franchi,2010
Stranded: I Have Come from a Plane That Crashed on the Mountains,Gonzalo Arijn,2008
Mr. Turner,Mike Leigh,2014
This Is Martin Bonner,Chad Hartigan,2013
Tale of Tales (Il racconto dei racconti),Edoardo Albinati,2016
Judge Dredd,William Wisher Jr.,1995
North,Alan Zweibel,1994
America America,Elia Kazan,1963
Alien3,David Giler,1992
Everybody Wants to Be Italian,Jason Todd Ipson,2007
The Story of Us,Jessie Nelson,1999
Omen III: The Final Conflict,David Seltzer,1981
Perfume (),Michael Rymer,2001
Wolf Creek,Greg McLean,2005
Kahlil Gibran's The Prophet,Roger Allers,2015
To Gillian on Her 37th Birthday,David E. Kelley,1996
3 Backyards,Eric Mendelsohn,2011
Terminal,Vaughn Stein,2018
Goethe! (Young Goethe in Love),Christoph Mller,2011
Newsies,Noni White,1992
The Return of the Living Dead,Dan O'Bannon,1985
The Dukes of Hazzard,John O'Brien,2005
Monty Python's Life of Brian,Graham Chapman,1979
Ip Man 3,Lai-yin Leung,2016
Shaun of the Dead,Simon Pegg,2004
A Raisin in the Sun,Lorraine Hansberry,1961
The Devil and Max Devlin,Mary Rodgers,1981
Kickboxer,Glenn Bruce,1989
The Snow Queen,Vlad Barbe,2013
Amreeka,Cherien Dabis,2009
Kicking and Screaming,Noah Baumbach,1995
Everything Strange and New,Frazer Bradshaw,2011
Message from the King,Oliver Butcher,2016
Bridget Jones's Baby,Emma Thompson,2016
St Trinian's II: The Legend of Fritton's Gold,Nick Moorcroft,2009
Deeply,Sheri Elwood,2001
Loren Cass,Christopher Fuller,2006
Baby Mama,Michael McCullers,2008
The Collection,Marcus Dunstan,2012
Madagascar,Mark Burton,2005
Teenage,Jon Savage,2014
"Scream, Blacula, Scream",Raymond Koenig,1973
De zaak Alzheimer (The Memory of a Killer),Jef Geeraerts,2005
The Possession,Stiles White,2012
Three Men and a Baby (3 Men and a Baby),Jim Cruickshank,1987
The Secret of NIMH,Gary Goldman,1982
A Knight's Tale,Brian Helgeland,2001
Babes in Toyland,Lowell Hawley,1961
Wrath of the Titans,David Leslie Johnson-McGoldrick,2012
Brubaker,Arthur Ross,1980
Mademoiselle Chambon,Stphane Briz,2010
